Batch size,Use decoder,Half precision,Compile model,Use CPU,GPU Memory,Duration,RTF
2,False,False,False,False,1.22,9.19,1.11
2,False,False,False,True,N/A,12.48,1.67
2,False,False,True,False,1.22,9.19,1.01
2,False,False,True,True,N/A,12.48,1.93
2,False,True,False,False,0.73,8.77,1.60
2,False,True,False,True,N/A,N/A,N/A
2,False,True,True,False,0.85,9.62,0.96
2,False,True,True,True,N/A,N/A,N/A
2,True,False,False,False,1.23,9.19,1.16
2,True,False,False,True,N/A,12.48,1.85
2,True,False,True,False,1.26,9.19,0.87
2,True,False,True,True,N/A,12.48,1.67
2,True,True,False,False,0.62,8.77,1.44
2,True,True,False,True,N/A,N/A,N/A
2,True,True,True,False,0.63,9.62,0.94
2,True,True,True,True,N/A,N/A,N/A
4,False,False,False,False,1.43,18.39,0.59
4,False,False,False,True,N/A,24.96,0.95
4,False,False,True,False,1.45,18.39,0.44
4,False,False,True,True,N/A,24.96,0.99
4,False,True,False,False,0.84,20.86,0.65
4,False,True,False,True,N/A,N/A,N/A
4,False,True,True,False,0.99,18.05,0.60
4,False,True,True,True,N/A,N/A,N/A
4,True,False,False,False,1.27,18.39,0.57
4,True,False,False,True,N/A,24.96,0.97
4,True,False,True,False,1.43,18.39,0.45
4,True,False,True,True,N/A,24.96,0.96
4,True,True,False,False,0.69,20.86,0.66
4,True,True,False,True,N/A,N/A,N/A
4,True,True,True,False,0.86,18.05,0.60
4,True,True,True,True,N/A,N/A,N/A
6,False,False,False,False,1.50,27.58,0.38
6,False,False,False,True,N/A,37.44,0.80
6,False,False,True,False,1.58,27.58,0.30
6,False,False,True,True,N/A,37.44,0.70
6,False,True,False,False,0.97,28.61,0.48
6,False,True,False,True,N/A,N/A,N/A
6,False,True,True,False,0.89,30.40,0.34
6,False,True,True,True,N/A,N/A,N/A
6,True,False,False,False,1.54,27.58,0.38
6,True,False,False,True,N/A,37.44,0.71
6,True,False,True,False,1.51,27.58,0.29
6,True,False,True,True,N/A,37.44,0.71
6,True,True,False,False,0.88,28.61,0.49
6,True,True,False,True,N/A,N/A,N/A
6,True,True,True,False,0.85,30.40,0.33
6,True,True,True,True,N/A,N/A,N/A
8,False,False,False,False,1.70,36.78,0.29
8,False,False,False,True,N/A,49.92,0.58
8,False,False,True,False,1.72,36.78,0.23
8,False,False,True,True,N/A,49.92,0.58
8,False,True,False,False,1.02,35.75,0.40
8,False,True,False,True,N/A,N/A,N/A
8,False,True,True,False,0.90,39.34,0.24
8,False,True,True,True,N/A,N/A,N/A
8,True,False,False,False,1.72,36.78,0.29
8,True,False,False,True,N/A,49.92,0.60
8,True,False,True,False,1.72,36.78,0.22
8,True,False,True,True,N/A,49.92,0.58
8,True,True,False,False,0.95,35.75,0.40
8,True,True,False,True,N/A,N/A,N/A
8,True,True,True,False,0.89,39.34,0.24
8,True,True,True,True,N/A,N/A,N/A
